# Функція: f(x) = exp(-x^2)*sin(x)
# Стовпці: x | f(x) | f'(x)
x               f(x)                 f'(x)               
-------------------------------------------------------
0,0000          0,000000             0,988401            
0,1000          0,098840             0,954397            
0,2000          0,190879             0,856225            
0,3000          0,270085             0,704805            
0,4000          0,331840             0,516459            
0,5000          0,373377             0,310486            
0,6000          0,393938             0,106439            
0,7000          0,394665             -0,078406           
0,8000          0,378256             -0,230977           
0,9000          0,348469             -0,343483           
1,0000          0,309560             -0,413568           
1,1000          0,265756             -0,443670           
1,2000          0,220826             -0,439802           
1,3000          0,177795             -0,410085           
1,4000          0,138809             -0,363300           
1,5000          0,105135             -0,307686           
1,6000          0,077272             -0,250111           
1,7000          0,055113             -0,195661           
1,8000          0,038140             -0,147569           
1,9000          0,025599             -0,107427           
2,0000          0,016654             -0,075534           
2,1000          0,010492             -0,051308           
2,2000          0,006393             -0,033664           
2,3000          0,003760             -0,021322           
2,4000          0,002128             -0,013022           
2,5000          0,001155             -0,007654           
2,6000          0,000598             -0,004319           
2,7000          0,000292             -0,002329           
2,8000          0,000132             -0,001192           
2,9000          0,000053             -0,000572           
3,0000          0,000017             -0,000252           
3,1000          0,000003             -0,000098           
3,2000          -0,000002            -0,000029           
3,3000          -0,000003            -0,000002           
3,4000          -0,000002            0,000006            
3,5000          -0,000002            0,000007            
3,6000          -0,000001            0,000005            
3,7000          -0,000001            0,000004            
3,8000          -0,000000            0,000002            
3,9000          -0,000000            0,000001            
4,0000          -0,000000            0,000001            
4,1000          -0,000000            0,000000            
4,2000          -0,000000            0,000000            
4,3000          -0,000000            0,000000            
4,4000          -0,000000            0,000000            
4,5000          -0,000000            0,000000            
4,6000          -0,000000            0,000000            
4,7000          -0,000000            0,000000            
4,8000          -0,000000            0,000000            
4,9000          -0,000000            0,000000            
5,0000          -0,000000            0,000000            
-------------------------------------------------------
# Кількість точок: 51
